Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
2,Umran Malik,3,0,27,0,9.00,9,3,1,1,0
3,Shardul Thakur,8,0,42,3,5.25,26,2,2,2,0
4,Kuldeep Yadav,8,0,30,1,3.75,25,1,0,1,0
5,Ravindra Jadeja,6,0,24,0,4.00,17,0,0,0,0
6,Axar Patel,2,1,4,0,2.00,8,0,0,0,0
0,Mukesh Kumar,7,1,30,3,4.28,33,2,1,4,2
1,Hardik Pandya,4,1,13,0,3.25,18,2,0,0,0
2,Shardul Thakur,6.3,0,37,4,5.69,23,5,1,0,0
3,Jaydev Unadkat,5,0,16,1,3.20,20,2,0,0,0
4,Kuldeep Yadav,8,3,25,2,3.12,39,3,1,0,0
5,Ravindra Jadeja,5,1,29,0,5.80,21,3,2,0,0
