Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
5,zimbabwe vs india,Deepak Hooda,2,0,6,1,3,7,0,0,0,0,ODI no. 4454
0,zimbabwe vs india,Deepak Chahar,10,0,75,2,7.5,25,7,3,1,0,ODI no. 4457
1,zimbabwe vs india,Avesh Khan,9.3,1,66,3,6.94,29,7,2,1,2,ODI no. 4457
2,zimbabwe vs india,Shardul Thakur,9,0,55,1,6.11,26,5,0,2,2,ODI no. 4457
3,zimbabwe vs india,Kuldeep Yadav,10,0,38,2,3.8,33,1,0,2,0,ODI no. 4457
4,zimbabwe vs india,Deepak Hooda,1,0,9,0,9,3,2,0,0,0,ODI no. 4457
5,zimbabwe vs india,Axar Patel,10,1,30,2,3,39,2,0,1,0,ODI no. 4457
0,india vs south africa,Mohammed Siraj,8,0,49,0,6.12,26,5,1,3,0,ODI no. 4470
1,india vs south africa,Avesh Khan,8,0,51,0,6.37,28,4,2,2,0,ODI no. 4470
2,india vs south africa,Shardul Thakur,8,1,35,2,4.37,26,3,0,2,0,ODI no. 4470
3,india vs south africa,Ravi Bishnoi,8,0,69,1,8.62,21,7,1,4,1,ODI no. 4470
4,india vs south africa,Kuldeep Yadav,8,0,39,1,4.87,24,2,1,0,0,ODI no. 4470
0,india vs south africa,Mohammed Siraj,10,1,38,3,3.8,39,5,0,2,0,ODI no. 4471
1,india vs south africa,Washington Sundar,9,0,60,1,6.66,20,6,1,0,0,ODI no. 4471
2,india vs south africa,Shahbaz Ahmed,10,0,54,1,5.4,25,4,1,0,0,ODI no. 4471
3,india vs south africa,Avesh Khan,7,0,35,0,5,24,5,0,1,0,ODI no. 4471
4,india vs south africa,Kuldeep Yadav,9,0,49,1,5.44,24,2,2,0,0,ODI no. 4471
5,india vs south africa,Shardul Thakur,5,0,36,1,7.2,11,5,0,0,0,ODI no. 4471
0,india vs south africa,Washington Sundar,4,0,15,2,3.75,17,2,0,2,0,ODI no. 4472
1,india vs south africa,Mohammed Siraj,5,0,17,2,3.4,23,3,0,0,0,ODI no. 4472
2,india vs south africa,Avesh Khan,5,1,8,0,1.6,24,0,0,2,0,ODI no. 4472
3,india vs south africa,Shahbaz Ahmed,7,0,32,2,4.57,23,4,0,0,0,ODI no. 4472
4,india vs south africa,Shardul Thakur,2,0,8,0,4,7,1,0,0,0,ODI no. 4472
5,india vs south africa,Kuldeep Yadav,4.1,1,18,4,4.32,15,1,1,0,0,ODI no. 4472
